Index,Data
0,0.146092
1,0.361068
2,0.203012
3,0.235264
4,0.274704
5,0.367423
6,0.417989
7,0.341915
8,0.421374
9,0.37723
10,0.311592
11,0.410888
12,0.439864
13,0.317009
14,0.384475
15,0.428523
16,0.436845
17,0.471714
18,0.498527
19,0.432485
20,0.392811
21,0.47771
22,0.492444
23,0.427755
24,0.431867
25,0.474033
26,0.450775
27,0.458891
28,0.469074
29,0.471207
30,0.513695
31,0.501048
32,0.525827
33,0.519878
34,0.479169
35,0.54813
36,0.546758
37,0.486809
38,0.473049
39,0.522097
40,0.49014
41,0.577833
42,0.616315
43,0.619022
44,0.578234
45,0.586172
46,0.585825
47,0.577833
48,0.603786
49,0.627061
50,0.661559
51,0.618821
52,0.578327
53,0.592721
54,0.628141
55,0.653822
56,0.636141
57,0.686114
58,0.664615
59,0.644641
60,0.6381
61,0.64837
62,0.669488
63,0.650932
64,0.633406
65,0.647345
66,0.653092
67,0.648954
68,0.696552
69,0.715522
70,0.701091
71,0.712701
72,0.738429
73,0.713777
74,0.744331
75,0.717261
76,0.72572
77,0.704331
78,0.704587
79,0.706505
80,0.720507
81,0.734769
82,0.724636
83,0.700809
84,0.723518
85,0.736399
86,0.736794
87,0.744148
88,0.738475
89,0.748922
90,0.737198
91,0.763927
92,0.737723
93,0.73699
94,0.736697
95,0.765381
96,0.736767
97,0.740235
98,0.759077
99,0.750544
100,0.747905
101,0.754198
102,0.744018
103,0.744482
104,0.752344
105,0.736508
106,0.739847
107,0.785973
108,0.788538
109,0.811642
110,0.788713
111,0.809417
112,0.796895
113,0.788707
114,0.787348
115,0.797208
116,0.786187
117,0.790661
118,0.786009
119,0.786098
120,0.793441
121,0.785973
122,0.788802
123,0.796469
124,0.788955
125,0.797227
126,0.785973
127,0.790514
128,0.803812
129,0.803812
130,0.806965
131,0.813475
132,0.804052
133,0.804061
134,0.804175
135,0.806374
136,0.803854
137,0.804119
138,0.80523
139,0.808499
140,0.80413
141,0.81772
142,0.803812
143,0.815908
144,0.803872
145,0.810724
146,0.812736
147,0.81751
148,0.811526
149,0.804234
150,0.804489
151,0.803812
152,0.817777
153,0.83202
154,0.817819
155,0.817777
156,0.828525
157,0.817899
158,0.836577
159,0.820122
160,0.829545
161,0.818697
162,0.817966
163,0.817777
164,0.830194
165,0.818009
166,0.81781
167,0.817801
168,0.817777
169,0.819762
170,0.821774
171,0.818588
172,0.81781
173,0.817787
174,0.83434
175,0.835684
176,0.835295
177,0.834854
178,0.835429
179,0.836394
180,0.838292
181,0.83434
182,0.834408
183,0.83459
184,0.83514
185,0.83434
186,0.840768
187,0.834991
188,0.834382
189,0.834488
190,0.835109
191,0.83443
192,0.840469
193,0.834477
194,0.834554
195,0.83434
196,0.840851
197,0.834872
198,0.834588
199,0.834523
200,0.834785
201,0.834496
202,0.835283
203,0.835253
204,0.835185
205,0.840798
206,0.840812
207,0.84109
208,0.840798
209,0.841432
210,0.841262
211,0.84084
212,0.842956
213,0.84282
214,0.840798
215,0.840949
216,0.840798
217,0.840798
218,0.841852
219,0.840798
220,0.84087
221,0.843369
222,0.841133
223,0.84107
224,0.840798
225,0.845195
226,0.840887
227,0.840946
228,0.840894
229,0.844513
230,0.840798
231,0.840864
232,0.841147
233,0.84117
234,0.840798
235,0.84329
236,0.842864
237,0.841596
238,0.841636
239,0.840954
240,0.853804
241,0.854129
242,0.854717
243,0.853834
244,0.854135
245,0.854063
246,0.853923
247,0.853941
248,0.85433
249,0.854446
250,0.853847
251,0.858265
252,0.853847
253,0.858332
254,0.854048
255,0.856628
256,0.853995
257,0.853893
258,0.854112
259,0.853928
260,0.854052
261,0.853847
262,0.854149
263,0.853884
264,0.853804
265,0.85387
266,0.854102
267,0.853844
268,0.853854
269,0.85408
270,0.855428
271,0.853804
272,0.853852
273,0.857506
274,0.857658
275,0.858162
276,0.857724
277,0.857548
278,0.85778
279,0.857716
280,0.85792
281,0.857677
282,0.857841
283,0.857735
284,0.857551
285,0.857813
286,0.858347
287,0.857968
288,0.857663
289,0.858095
290,0.857672
291,0.858554
292,0.858239
293,0.857858
294,0.857541
295,0.858046
296,0.85773
297,0.857552
298,0.85751
299,0.857662
300,0.857776
301,0.858052
302,0.857605
303,0.857548
304,0.857847
305,0.857755
306,0.857885
307,0.85793
308,0.857638
309,0.857973
310,0.857794
311,0.857959
312,0.857584
313,0.862966
314,0.862981
315,0.863168
316,0.865212
317,0.863572
318,0.86332
319,0.862999
320,0.864364
321,0.862966
322,0.862968
323,0.863293
324,0.862966
325,0.863718
326,0.863008
327,0.863117
328,0.864408
329,0.864205
330,0.864603
331,0.863264
332,0.863264
333,0.863569
334,0.862979
335,0.862984
336,0.86324
337,0.863345
338,0.863374
339,0.862983
340,0.863056
341,0.863247
342,0.862982
343,0.863352
344,0.863405
345,0.862999
346,0.863113
347,0.864263
348,0.863155
349,0.863673
350,0.863187
351,0.862966
352,0.863008
353,0.862966
354,0.863293
355,0.863225
356,0.862999
357,0.87734
358,0.87734
359,0.877638
360,0.877504
361,0.877551
362,0.87734
363,0.877358
364,0.877394
365,0.878199
366,0.877429
367,0.877491
368,0.877619
369,0.878197
370,0.877982
371,0.877429
372,0.878717
373,0.877611
374,0.87748
375,0.877418
376,0.87734
377,0.877429
378,0.878124
379,0.877384
380,0.877638
381,0.87815
382,0.87734
383,0.877426
384,0.877638
385,0.877379
386,0.878084
387,0.877638
388,0.877408
389,0.87734
390,0.87761
391,0.877399
392,0.87734
393,0.87734
394,0.877977
395,0.877437
396,0.878214
397,0.87859
398,0.87825
399,0.878214
400,0.878474
401,0.878525
402,0.880567
403,0.87823
404,0.878547
405,0.878228
406,0.878529
407,0.878263
408,0.883638
409,0.878434
410,0.87833
411,0.878214
412,0.878257
413,0.87831
414,0.878308
415,0.87835
416,0.878257
417,0.878236
418,0.878214
419,0.878247
420,0.878307
421,0.878837
422,0.878868
423,0.878452
424,0.878351
425,0.87822
426,0.878978
427,0.878581
428,0.878679
429,0.881231
430,0.881487
431,0.881231
432,0.88132
433,0.881306
434,0.881245
435,0.881639
436,0.881268
437,0.881277
438,0.88132
439,0.881471
440,0.88352
441,0.881641
442,0.882323
443,0.881231
444,0.882201
445,0.881231
446,0.88132
447,0.881264
448,0.88143
449,0.882063
450,0.881467
451,0.881948
452,0.881231
453,0.881527
454,0.881917
455,0.883885
456,0.881529
457,0.881509
458,0.881231
459,0.881529
460,0.881231
461,0.88161
462,0.881231
463,0.883519
464,0.883733
465,0.883521
466,0.883985
467,0.885765
468,0.883519
469,0.88403
470,0.883519
471,0.883658
472,0.883738
473,0.883823
474,0.883709
475,0.883519
476,0.883519
477,0.883519
478,0.883519
479,0.883519
480,0.885436
481,0.883519
482,0.883536
483,0.883917
484,0.883519
485,0.883519
486,0.883527
487,0.883563
488,0.883519
489,0.883558
490,0.883519
491,0.883519
492,0.883519
493,0.883519
494,0.884598
495,0.883538
496,0.883522
497,0.883644
498,0.883519
499,0.88354
